sku_id,product_name,category,warehouse_id,supplier_id,units_in_stock,units_sold_yesterday,reorder_point,unit_cost,snapshot_date
SKU-1041,Cotton T-Shirt 41,Clothing,WH-01,SUP-01,66,20,75,101.02,12-07-2026
SKU-1042,Olive Oil 42,Food,WH-02,SUP-02,21,9,20,38.72,12-07-2026
SKU-1043,Bluetooth Speaker 43,Electronics,WH-03,SUP-03,28,19,30,64.29,12-07-2026
SKU-1044,Knife Set 44,HOME_KITCHEN,WH-04,SUP-04,162,10,50,187.64,12-07-2026
SKU-1045,Bedside Table 45,Furniture ,WH-01,SUP-05,13,12,50,224.81,12-07-2026
SKU-1046,Sticky Notes 46,Office Supplies,WH-02,SUP-06,5,15,20,92.73,12-07-2026
SKU-1047,Cap 47,apparel,WH-03,SUP-07,29,19,15,129.1,12-07-2026
SKU-1048,Peanut Butter 48,Groceries,WH-04,SUP-08,32,10,15,189.8,12-07-2026
SKU-1049,Wireless Mouse 49,ELEC,WH-01,SUP-09,19,12,20,41.18,12-07-2026
SKU-1050,Coffee Mug 50,home kitchen,WH-02,SUP-10,90,12,50,198.75,12-07-2026
SKU-1001,Wireless Mouse 01,Electronics,WH-01,SUP-01,19,16,10,161.12,13-07-2026
SKU-1002,Coffee Mug 02,Kitchen,WH-02,SUP-02,72,,25,186.29,13-07-2026
SKU-1003,Bookshelf 03,furniture,WH-03,SUP-03,39,4,15,58.52,13-07-2026
SKU-1004,Printer Paper 04,Stationery,WH-04,SUP-04,2,12,15,170.31,13-07-2026
SKU-1005,Hoodie 05,Apparel ,WH-01,SUP-05,0,0,10,149.06,13-07-2026
SKU-1006,Almonds 06,Food,WH-02,SUP-06,67,11,25,10.85,13-07-2026
SKU-1007,Webcam 07,ELEC,WH-03,SUP-07,26,5,10,60.85,13-07-2026
SKU-1008,Water Filter 08,Kitchen,WH-04,SUP-08,94,7,50,141.85,13-07-2026
SKU-1009,Office Chair 09,Furniture ,WH-01,SUP-09,49,9,30,57.84,13-07-2026
SKU-1010,Gel Pen Set 10,Stationery,WH-02,SUP-10,7,19,10,203.02,13-07-2026
SKU-1011,Denim Jacket 11,apparel,WH-03,SUP-01,48,14,20,190.55,13-07-2026
SKU-1012,Protein Bar 12,Grocery,WH-04,SUP-02,43,11,40,175.59,13-07-2026
SKU-1013,Power Bank 13,Electronics,WH-01,,2,14,25,72,13-07-2026
SKU-1014,Storage Jar 14,Home and Kitchen,WH-02,SUP-04,59,15,40,239.45,13-07-2026
SKU-1015,Folding Chair 15,FURN,WH-03,SUP-05,61,10,50,28.69,13-07-2026
SKU-1016,File Folder 16,Office-Supplies,WH-04,SUP-06,105,12,40,27.34,13-07-2026
SKU-1017,Cotton T-Shirt 17,Apparel ,WH-01,SUP-07,0,15,10,152.32,13-07-2026
SKU-1018,Olive Oil 18,grocery,WH-02,SUP-08,28,13,15,183.38,13-07-2026
SKU-1019,  BLUETOOTH SPEAKER 19  ,Electronic,WH-03,SUP-09,131,5,50,243.37,13-07-2026
SKU-1020,Knife Set 20,Home & Kitchen,WH-04,SUP-10,86,15,30,22.92,13-07-2026
SKU-1021,Bedside Table 21,Furniture ,WH-01,SUP-01,80,21,40,207.95,13-07-2026
SKU-1022,Sticky Notes 22,Office-Supplies,WH-02,SUP-02,40,15,15,145.82,13-07-2026
SKU-1023,Cap 23,APP,WH-03,SUP-03,54,18,25,14.8,13-07-2026
SKU-1024,Peanut Butter 24,Groceries,WH-04,SUP-04,15,18,15,194.06,13-07-2026
SKU-1025,Wireless Mouse 25,Electronic,WH-01,SUP-05,50,4,15,214.34,13-07-2026
SKU-1026,Coffee Mug 26,Home & Kitchen,WH-02,SUP-06,178,15,75,97.2,13-07-2026
SKU-1027,Bookshelf 27,Furniture ,WH-03,SUP-07,112,24,40,160.2,13-07-2026
SKU-1028,Printer Paper 28,Office Supplies,WH-04,SUP-08,80,20,40,43.59,13-07-2026
SKU-1029,Hoodie 29,Apparel,WH-01,SUP-09,21,20,30,55.14,13-07-2026
SKU-1030,Almonds 30,grocery,WH-02,SUP-10,36,11,15,176.5,13-07-2026
SKU-1031,Webcam 31,electronics,WH-03,SUP-01,70,3,20,153.65,13-07-2026
SKU-1032,Water Filter 32,Kitchen,WH-04,SUP-02,86,13,25,135.17,13-07-2026
SKU-1033,Office Chair 33,FURN,WH-01,SUP-03,29,7,50,43.78,13-07-2026
SKU-1034,Gel Pen Set 34,OFFICE,WH-02,SUP-04,40,6,25,70.04,13-07-2026
SKU-1035,Denim Jacket 35,Clothing,WH-03,SUP-05,9,6,10,172.26,13-07-2026
SKU-1036,Protein Bar 36,Groceries,WH-04,SUP-06,13,1,10,59.96,13-07-2026
SKU-1037,Power Bank 37,Electronic,WH-01,SUP-07,87,14,50,201.94,13-07-2026
SKU-1038,Storage Jar 38,Home & Kitchen,WH-02,SUP-08,27,5,25,69.5,13-07-2026
SKU-1039,Folding Chair 39,Furniture,WH-03,SUP-09,73,17,40,228.59,13-07-2026
SKU-1040,File Folder 40,Stationery,WH-04,SUP-10,197,10,75,55.91,13-07-2026
SKU-1041,Cotton T-Shirt 41,Apparel ,WH-01,SUP-01,159,10,75,101.02,13-07-2026
SKU-1042,Olive Oil 42,Groceries,WH-02,SUP-02,50,12,20,38.72,13-07-2026
SKU-1043,Bluetooth Speaker 43,Electronic,WH-03,SUP-03,59,12,30,64.29,13-07-2026
SKU-1044,Knife Set 44,Kitchen,WH-04,SUP-04,91,7,50,187.64,13-07-2026
SKU-1045,Bedside Table 45,furniture,WH-01,SUP-05,106,23,50,224.81,13-07-2026
SKU-1046,Sticky Notes 46,OFFICE,WH-02,SUP-06,36,23,20,92.73,13-07-2026
SKU-1047,Cap 47,Apparel,WH-03,SUP-07,7,4,15,129.1,13-07-2026
SKU-1048,Peanut Butter 48,Grocery,WH-04,SUP-08,21,9,15,189.8,13-07-2026
SKU-1049,Wireless Mouse 49,Electronic,WH-01,SUP-09,-1,9,20,41.18,13-07-2026
SKU-1050,Coffee Mug 50,HOME_KITCHEN,WH-02,SUP-10,102,9,50,198.75,13-07-2026
SKU-1001,Wireless Mouse 01,ELEC,WH-01,SUP-01,13,6,10,161.12,14-07-2026
SKU-1002,Coffee Mug 02,Kitchen,WH-02,SUP-02,40,15,25,186.29,14-07-2026
SKU-1003,Bookshelf 03,furniture,WH-03,SUP-03,28,14,15,58.52,14-07-2026
SKU-1004,Printer Paper 04,OFFICE,WH-04,SUP-04,28,19,15,170.31,14-07-2026
SKU-1005,Hoodie 05,Apparel ,WH-01,SUP-05,0,0,10,149.06,14-07-2026
SKU-1006,Almonds 06,Grocery,WH-02,SUP-06,34,0,25,10.85,14-07-2026
SKU-1007,Webcam 07,ELEC,WH-03,SUP-07,12,10,10,60.85,14-07-2026
SKU-1008,Water Filter 08,Kitchen,WH-04,SUP-08,155,16,50,141.85,14-07-2026
SKU-1009,Office Chair 09,Furniture ,WH-01,SUP-09,64,6,30,57.84,14-07-2026
SKU-1010,Gel Pen Set 10,OFFICE,WH-02,SUP-10,5,10,10,203.02,14-07-2026
SKU-1011,Denim Jacket 11,Clothing,WH-03,SUP-01,0,23,20,190.55,14-07-2026
SKU-1012,Protein Bar 12,Groceries,WH-04,SUP-02,49,0,40,175.59,14-07-2026
SKU-1013,Power Bank 13,ELEC,WH-01,SUP-03,47,21,25,72,14-07-2026
SKU-1014,Storage Jar 14,home kitchen,WH-02,SUP-04,54,14,40,239.45,14-07-2026
SKU-1015,Folding Chair 15,Furniture ,WH-03,SUP-05,97,10,50,28.69,14-07-2026
SKU-1016,File Folder 16,Office Supplies,WH-04,SUP-06,48,12,40,27.34,14-07-2026
SKU-1017,Cotton T-Shirt 17,Clothing,WH-01,SUP-07,2,16,10,152.32,14-07-2026
SKU-1018,Olive Oil 18,grocery,WH-02,SUP-08,0,7,15,183.38,14-07-2026
SKU-1019,Bluetooth Speaker 19,ELEC,WH-03,SUP-09,42,4,50,243.37,14-07-2026
SKU-1020,Knife Set 20,HOME_KITCHEN,WH-04,SUP-10,76,16,30,22.92,14-07-2026
SKU-1021,Bedside Table 21,FURN,WH-01,SUP-01,100,7,40,207.95,14-07-2026
SKU-1022,Sticky Notes 22,Stationery,WH-02,SUP-02,28,19,15,145.82,14-07-2026
SKU-1023,Cap 23,Clothing,WH-03,SUP-03,64,8,25,14.8,14-07-2026
SKU-1024,Peanut Butter 24,Grocery,WH-04,SUP-04,34,15,15,194.06,14-07-2026
SKU-1025,Wireless Mouse 25,Electronic,WH-01,SUP-05,32,8,15,214.34,14-07-2026
SKU-1026,Coffee Mug 26,Home & Kitchen,WH-02,SUP-06,288,9,75,97.2,14-07-2026
SKU-1027,Bookshelf 27,Furniture,WH-03,SUP-07,96,,40,160.2,14-07-2026
SKU-1028,Printer Paper 28,OFFICE,WH-04,SUP-08,63,13,40,43.59,14-07-2026
SKU-1029,Hoodie 29,APP,WH-01,SUP-09,81,13,30,55.14,14-07-2026
